epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789638153	172.59	40	37	1770	0x0000000000000000	20490	26204092	8388604	4739864
1789638155	170.07	40	33	1695	0x0000000000000000	20490	26206340	8388604	4739864
1789638157	170.84	40	34	1740	0x0000000000000000	20490	26127988	8388604	4739864
1789638159	165.81	40	37	1695	0x0000000000000000	20490	26123156	8388604	4739864
1789638161	174.74	41	39	1890	0x0000000000000000	20490	26140160	8388604	4739864
1789638163	207.19	42	34	1935	0x0000000000000000	20490	25972972	8388604	4739864
1789638165	153.23	40	20	1695	0x0000000000000000	20490	25701864	8388604	4514288
1789638167	144.07	40	30	1695	0x0000000000000000	20490	25607836	8388604	4386544
1789638169	147.73	40	25	1695	0x0000000000000000	20490	25627416	8388604	4270804
1789638171	165.27	40	41	1695	0x0000000000000000	20490	26162984	8388604	4739864
1789638173	168.54	40	36	1830	0x0000000000000000	20490	26154732	8388604	4739864
1789638175	174.59	41	37	1770	0x0000000000000000	20490	26171100	8388604	4739864
1789638177	192.44	42	41	1860	0x0000000000000000	20490	26202724	8388604	4739864
1789638179	190.77	42	40	1800	0x0000000000000000	20490	26248640	8388604	4739864
1789638181	198.61	42	33	1890	0x0000000000000000	20490	26168140	8388604	4739864
1789638183	157.22	41	39	1755	0x0000000000000000	20490	26163304	8388604	4739864
1789638185	179.77	42	39	1770	0x0000000000000000	20490	26170736	8388604	4739864
1789638187	181.67	41	29	1815	0x0000000000000000	20490	26171896	8388604	4739864
1789638189	181.12	42	36	1800	0x0000000000000000	20490	26111708	8388604	4739864
1789638191	170.06	41	37	1725	0x0000000000000000	20490	26241264	8388604	4739864
1789638193	174.18	41	34	1770	0x0000000000000000	20490	26251880	8388604	4739864
1789638196	147.43	40	31	1695	0x0000000000000000	20490	26230604	8388604	4739864
1789638198	166.51	41	38	1695	0x0000000000000000	20490	26122796	8388604	4739864
1789638200	163.52	41	36	1695	0x0000000000000000	20490	26197028	8388604	4739864
1789638202	226.52	44	40	1980	0x0000000000000000	20490	26225672	8388604	4739864
1789638204	202.41	43	37	1875	0x0000000000000000	20490	26277872	8388604	4739864
1789638206	178.47	42	40	1755	0x0000000000000000	20490	26167124	8388604	4739864
1789638208	185.24	43	38	1800	0x0000000000000000	20490	26187804	8388604	4739864
1789638210	187.94	43	40	1815	0x0000000000000000	20490	26182128	8388604	4739864
1789638212	192.36	43	37	1830	0x0000000000000000	20490	26147044	8388604	4739864
1789638214	173.07	42	35	1710	0x0000000000000000	20490	26148796	8388604	4739864
1789638216	180.05	43	39	1785	0x0000000000000000	20490	26204536	8388604	4739864
1789638218	201.99	44	40	1920	0x0000000000000000	20490	26224220	8388604	4739864
1789638220	219.56	44	40	1935	0x0000000000000000	20490	26237504	8388604	4739864
1789638222	200.75	43	38	1815	0x0000000000000000	20490	26158408	8388604	4739864
1789638224	164.14	43	41	1725	0x0000000000000000	20490	26206480	8388604	4739864
1789638226	198.46	44	36	1860	0x0000000000000000	20490	26228556	8388604	4739864
1789638228	166.94	43	42	1725	0x0000000000000000	20490	26251308	8388604	4739864
1789638230	172.56	42	36	1695	0x0000000000000000	20490	26186980	8388604	4739864
1789638232	171.89	43	41	1695	0x0000000000000000	20490	25894384	8388604	4739864
1789638234	149.42	41	33	1740	0x0000000000000000	20490	25776948	8388604	4428904
1789638236	171.75	43	36	1725	0x0000000000000000	20490	25699984	8388604	4217664
1789638238	163.17	42	25	1695	0x0000000000000000	20490	26063176	8388604	4739864
